ID,SPACE,TYPE,HR,HER2,Eligibility,TNM Staging
1,MED ONC,Adjuvant,POSITIVE,POSITIVE,* Stage I/II with nonpCR OR stage III (pCR or not) to be enrolled <90 days from completion of HP/TDM1<br><br>* TWO cohorts depending on HLA-A*02,"T1 N0 M0, T2 N0 M0, T3 N0 M0, T1 N1 M0, T2 N1 M0, T3 N1 M0, T0 N2 M0, T1 N2 M0, T2 N2 M0, T3 N2 M0, T4 N0 M0, T4 N1 M0, T4 N2 M0, Any T N3 M0"
2,MED ONC,Adjuvant,NEGATIVE,POSITIVE,* Stage I/II with nonpCR OR stage III (pCR or not) to be enrolled <90 days from completion of HP/TDM1<br><br>* TWO cohorts depending on HLA-A*02,"T1 N0 M0, T2 N0 M0, T3 N0 M0, T1 N1 M0, T2 N1 M0, T3 N1 M0, T0 N2 M0, T1 N2 M0, T2 N2 M0, T3 N2 M0, T4 N0 M0, T4 N1 M0, T4 N2 M0, Any T N3 M0"
3,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,"* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* High Risk ER+ (Grade III, Age <50, ER < 6/8 OR Ki67 >29%). Will receive weekly Taxol with ddAC","T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
4,MED ONC,Neoadjuvant,POSITIVE,POSITIVE,* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* Will receive weekly Taxol HP with ddAC,"T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
5,MED ONC,Neoadjuvant,NEGATIVE,POSITIVE,* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* Will receive weekly Taxol HP with ddAC,"T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
6,MED ONC,Neoadjuvant,NEGATIVE,NEGATIVE,"* 1ry 20mm or more (T2 N0 and higher) by exam or imaging. Excludes IBC and BL cancers<br><br>* Will receive weekly Taxol with ddAC (Pembro added if indicated, Carbo added if T3)","T2 N0, T2 N1, T2 N2, T3 N0, T3 N1, T3 N2"
8,MED ONC,Neoadjuvant,POSITIVE,POSITIVE,* Stage IIB / III HER2+ Breast cancer receiving NACT. Stage IIA has to have 1ry > 15mm<br><br>* Low affinity CD16A Genotype FF or FV (Prior to enrollment) from germline PBMNs,"T2 N1, T2 N2, T3 N1, T3 N2"
9,MED ONC,Neoadjuvant,NEGATIVE,POSITIVE,* Stage IIB / III HER2+ Breast cancer receiving NACT. Stage IIA has to have 1ry > 15mm<br><br>* Low affinity CD16A Genotype FF or FV (Prior to enrollment) from germline PBMNs,"T2 N1, T2 N2, T3 N1, T3 N2"
14,MED ONC,Adjuvant,POSITIVE,POSITIVE,"* Prior NACT with 6 or more cycles of chemo (at least 9 weeks or THP). If was part of EA1181, must receive 2 more cycles of chemo<br><br>* ER+ must be ypN+ (1/2/3) with ypT1/2/3. Weak ER+ can be ypN0. Will be randomized to TDM1 vs TDM1 and Tucatinib. May receive 1 cycle adjuvant T-DM1 prior to registration",T1/2/3 N0/1/2/3
15,MED ONC,Adjuvant,NEGATIVE,POSITIVE,"* Prior NACT with 6 or more cycles of chemo (at least 9 weeks or THP). If was part of EA1181, must receive 2 more cycles of chemo<br><br>* ER- can be ypT1/2/3 with ypN0/1/2/3. Will be randomized to TDM1 vs TDM1 and Tucatinib. May receive 1 cycle adjuvant T-DM1 prior to registration",T1/2/3 N0/1/2/3
16,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,"* ADH, ALH, LCIS or DCIS requiring excision. T1(mi) is allowed. If undergoing germline testing, results should be available prior to randomization<br><br>* Ruxo vs Placebo for 15 days +/- 5 days. Surgery within 12 hours of last dose",T1(mi)
17,MED ONC,Neoadjuvant,NEGATIVE,NEGATIVE,"* ADH, ALH, LCIS or DCIS requiring excision. T1(mi) is allowed. If undergoing germline testing, results should be available prior to randomization<br><br>* Ruxo vs Placebo for 15 days +/- 5 days. Surgery within 12 hours of last dose",T1(mi)
27,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,"1) Clinical T2 or T3 and N0 or N1 with Grade I and II <br><br>2) ER+ 67% or more, Allred 6-8",T2/T3 N0/1
28,MED ONC,Metastatic,POSITIVE,NEGATIVE,1) Progression on 1st Line CDK4/6. ESR1 mutation,T4 or higher N0 or higher
29,MED ONC,Metastatic,POSITIVE,NEGATIVE,"* Post 1st Line of ET/CDK either Denovo or relapse after 2 years (min) of ET therapy <br><br>* Part A three arm for OP 120, OP 90 and SoC. Part B is OP vs SoC [Faslo or AI]",T4 or higher N0 or higher
30,MED ONC,Metastatic,POSITIVE,NEGATIVE,"* Post 1st Line of ET/CDK either Denovo or relapse after 2 years (min) of ET therapy <br><br>* Part A three arm for OP 120, OP 90 and SoC. Part B is OP vs SoC [Faslo or AI] <br><br>* If 2nd line was Faslo, 3rd line SoC can be AI",T4 or higher N0 or higher
31,MED ONC,Adjuvant,POSITIVE,NEGATIVE,"* Intermediate and High risk to randomize between adjuvant year 2 : 5 to either continue adj. ET SoC vs oral SERD<br><br>* Intermediate: T3 N0 | T1c/T2 N1 [2-3 LN] | T1c/T2 N0 (Grade III, KI67 >= 20%, LumB/RS26, or prior chemotherapy)<br><br>* High: Stage III | T1c/T2 N1 [2-3] (Grade III, KI67 >= 20%, LumB/RS26) | T1c/T2 N1 [1/3] (Grade III, KI67 >= 20%, LumB/RS26)","T3 N0, T1c N1, T2 N1, T1c N0, T2 N0, T1c N1 [2-3 LN], T2 N1 [2-3 LN], T3 N2, T4 N0, T4 N1, T4 N2, Any T N3"
35,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,* ILC ER+ POSTmenopausal. Tumor 10mm or more. No HRT in prior 2 years,T1 or higher N0 or higher
36,MED ONC,Metastatic,POSITIVE,POSITIVE,"* On 1st Line ABC HER2+ for 3 or more years. If brain disease, has to be stable for 2 or more years<br><br>* Continue ET therapy. Can be enrolled if ET was changed",T4 or higher N0 or higher
37,MED ONC,Metastatic,NEGATIVE,POSITIVE,"* On 1st Line ABC HER2+ for 3 or more years. If brain disease, has to be stable for 2 or more years",T4 or higher N0 or higher
38,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere).<br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's",T2 or higher N0 or higher
39,MED ONC,Neoadjuvant,NEGATIVE,NEGATIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere).<br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's",T2 or higher N0 or higher
40,MED ONC,Neoadjuvant,POSITIVE,POSITIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere).<br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's",T2 or higher N0 or higher
41,MED ONC,Neoadjuvant,NEGATIVE,POSITIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere). <br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's","T2 or higher, N0 or higher"
42,MED ONC,Adjuvant,POSITIVE,NEGATIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere). <br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's","T2 or higher, N0 or higher"
43,MED ONC,Adjuvant,NEGATIVE,NEGATIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere). <br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's","T2 or higher, N0 or higher"
44,MED ONC,Adjuvant,POSITIVE,POSITIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere). <br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's","T2 or higher, N0 or higher"
45,MED ONC,Adjuvant,NEGATIVE,POSITIVE,"* NACT or Adjuvant Chemo with Taxanes (either weekly Taxol, Carbo Taxol or CarboTaxotere). <br><br>* Not for Taxotere Cytoxan. Not for prior Taxane exposure. No pre-existing Neuropathy or Raynaud's","T2 or higher, N0 or higher"
46,MED ONC,Metastatic,NEGATIVE,POSITIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA) <br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
47,MED ONC,Metastatic,NEGATIVE,POSITIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA) <br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
48,MED ONC,Metastatic,NEGATIVE,POSITIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA) <br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
49,MED ONC,Metastatic,NEGATIVE,NEGATIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA) <br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
50,MED ONC,Metastatic,NEGATIVE,NEGATIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA) <br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
51,MED ONC,Metastatic,NEGATIVE,NEGATIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
52,MED ONC,Metastatic,POSITIVE,NEGATIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
53,MED ONC,Metastatic,POSITIVE,NEGATIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
54,MED ONC,Metastatic,POSITIVE,NEGATIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
55,MED ONC,Metastatic,POSITIVE,POSITIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
56,MED ONC,Metastatic,POSITIVE,POSITIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
57,MED ONC,Metastatic,POSITIVE,POSITIVE,"* HER2 3+ OR 2+ by IHC via CB11 antibody (Leica) or anti HER2/neu (4B5) (VENTANA)<br><br>* Meaurable disease with at least one site of injection. Can be 2nd line and after, with no limits on prior lines.","T2 or higher, N0 or higher"
58,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,* ILC ER+ PR+ HER2- with ERBB2 mutation.<br><br>* T1c (Min size 15mm) N0/N1/N2,"T1c, N0/N1/N2"
59,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,* High 2 on MP,Not specified
60,MED ONC,Neoadjuvant,POSITIVE,NEGATIVE,"* TNBC (<5%) with T2-T4 N0 OR T1-T3 N1-N2.<br><br>* No Stage IIIC, IIIB T4 N+ OR IBC","T2-T4 N0, T1-T3 N1-N2"
61,MED ONC,Adjuvant,NEGATIVE,NEGATIVE,"* TNBC (<10%) T1cN1-2 or T2-4N0-2 with ypT0 OR ypTis<br><br>* Adju RT and Pembro, followed by registration","T1cN1-2, T2-4N0-2"
62,MED ONC,Adjuvant,NEGATIVE,NEGATIVE,* TNBC (<10%) with residual disease,Not specified
63,MED ONC,Adjuvant,POSITIVE,NEGATIVE,"* ER+ (>1%) HER2- with pT1-3 pN0-1.<br><br>* RS N1 <26. RS N0 21-25. RS N0 16-20 WITH T minimum at 30mm (G1), 20mm (G2) or 10mm (G3)",pT1-3 pN0-1
64,MED ONC,Metastatic,POSITIVE,NEGATIVE,* DenoVo metastatic opr 1ry resistant ER+ (>1%)<br><br>* BRCA1/2 OR PALB2 (either germline or somatic),"Any T, Any N, M1"